,tuning_group,train_MSE,test_MSE,train_RMSE,test_RMSE,train_MAE,test_MAE,train_MAPE,test_MAPE,train_R2,test_R2,sec_conv,perform_validation,num_train_samples,input_1,input_2,#_epochs,#filters_conv1,filter_size_conv1,act_func_conv1,#filters_conv2,filter_size_conv2,act_func_conv2,dense_neurons,act_func_dense
0,1,355.8959045,337.1485655,18.86520386,18.36160574,14.57865334,13.61984686,59482784.0,149.6220473,0.796309471,0.804763138,False,False,17731,30,14,3,32,3,sigmoid,16,5,relu,50,relu
1,1,261.3375244,261.644746,16.16593742,16.1754365,12.57414436,12.33461508,64940664.0,137.7683917,0.850428641,0.848486125,False,False,17731,30,14,3,64,3,sigmoid,16,5,relu,50,relu
2,1,237.4783173,241.5704796,15.41033173,15.54253774,12.07453346,11.73731896,75410768.0,144.2812513,0.864083648,0.86011076,False,False,17731,30,14,3,128,3,sigmoid,16,5,relu,50,relu
3,1,213.6642151,233.558094,14.61725712,15.28260757,11.42016792,11.45281713,68126056.0,140.9747809,0.877712965,0.864750624,False,False,17731,30,14,3,256,3,sigmoid,16,5,relu,50,relu
4,1,204.8257294,241.2397809,14.3117342,15.5318956,11.1619091,11.78425084,52648680.0,151.2770217,0.882771671,0.860302269,False,False,17731,30,14,3,512,3,sigmoid,16,5,relu,50,relu
5,1,287.872467,258.6663533,16.9668045,16.0831077,13.10584641,11.97057502,59131460.0,147.4099031,0.835241497,0.850210845,False,False,17731,30,14,4,32,3,sigmoid,16,5,relu,50,relu
6,1,210.4225922,227.7186368,14.50594997,15.09034913,11.2637291,11.3523825,38350452.0,145.5651973,0.879568338,0.868132114,False,False,17731,30,14,4,64,3,sigmoid,16,5,relu,50,relu
7,1,203.5502319,246.4004705,14.2671032,15.69714848,11.19959259,12.06666656,56108536.0,151.7552129,0.88350153,0.857313812,False,False,17731,30,14,4,128,3,sigmoid,16,5,relu,50,relu
8,1,183.4599915,224.8856784,13.54474068,14.9961888,10.27000904,11.02966093,42406780.0,147.017653,0.895000041,0.869772613,False,False,17731,30,14,4,256,3,sigmoid,16,5,relu,50,relu
9,1,193.6993256,254.9861084,13.91759014,15.96828445,10.73261738,12.03721222,41657932.0,137.4579301,0.889139593,0.85234201,False,False,17731,30,14,4,512,3,sigmoid,16,5,relu,50,relu
10,1,210.1603241,233.0150759,14.49690723,15.26483134,11.22559929,11.94253228,28458708.0,147.4184281,0.879718184,0.865065038,False,False,17731,30,14,5,32,3,sigmoid,16,5,relu,50,relu
11,1,193.044632,220.3857731,13.8940506,14.84539569,10.68441105,11.15892464,29057750.0,142.472713,0.889514446,0.872378409,False,False,17731,30,14,5,64,3,sigmoid,16,5,relu,50,relu
12,1,187.8037415,224.5599902,13.7041502,14.98532583,10.54212093,11.19682168,28929288.0,147.3766543,0.892513931,0.869961202,False,False,17731,30,14,5,128,3,sigmoid,16,5,relu,50,relu
13,1,179.6014862,250.0802454,13.40154743,15.81392568,10.28099918,11.66627425,34600184.0,153.2039329,0.897208214,0.855182886,False,False,17731,30,14,5,256,3,sigmoid,16,5,relu,50,relu
14,1,181.738739,224.8156214,13.48105145,14.99385279,10.22132778,11.07847982,36589088.0,148.0760621,0.895985126,0.869813204,False,False,17731,30,14,5,512,3,sigmoid,16,5,relu,50,relu
15,1,185.7500458,237.5765272,13.62901497,15.41351768,10.51074886,11.61466468,28837442.0,151.9195694,0.893689036,0.862423539,False,False,17731,30,14,6,32,3,sigmoid,16,5,relu,50,relu
16,1,182.6898956,228.7177709,13.51628304,15.12341796,10.29458904,11.33173896,23347930.0,148.3399964,0.89544034,0.867553532,False,False,17731,30,14,6,64,3,sigmoid,16,5,relu,50,relu
17,1,177.7540436,223.5702607,13.33244324,14.95226607,10.07738876,11.15115373,38232144.0,143.5590176,0.8982656,0.87053436,False,False,17731,30,14,6,128,3,sigmoid,16,5,relu,50,relu
18,1,176.0395508,227.3602369,13.26799011,15.07846932,10.03872776,11.19513338,32926330.0,146.841601,0.899246871,0.868339658,False,False,17731,30,14,6,256,3,sigmoid,16,5,relu,50,relu
19,1,181.0564575,271.2042263,13.45572186,16.4682794,10.14953327,11.96824579,31859292.0,133.2968168,0.896375537,0.842950344,False,False,17731,30,14,6,512,3,sigmoid,16,5,relu,50,relu
20,1,176.0939636,235.4040964,13.27004051,15.34288423,10.13658237,11.91136557,21327732.0,142.1835162,0.899215817,0.863681614,False,False,17731,30,14,9,32,3,sigmoid,16,5,relu,50,relu
21,1,174.4720612,245.1217262,13.20878696,15.65636376,10.10668468,12.22777262,23369168.0,141.3990163,0.900144041,0.85805428,False,False,17731,30,14,9,64,3,sigmoid,16,5,relu,50,relu
22,1,166.1719208,227.9547805,12.890769,15.09817143,9.75987339,11.37632855,25673226.0,146.9087026,0.904894471,0.867995381,False,False,17731,30,14,9,128,3,sigmoid,16,5,relu,50,relu
23,1,164.2114563,239.9922378,12.81450176,15.49168286,9.65801239,11.41668343,27301136.0,151.9246868,0.906016469,0.861024678,False,False,17731,30,14,9,256,3,sigmoid,16,5,relu,50,relu
24,1,171.289444,244.9443399,13.08775902,15.65069774,9.990683556,11.62565718,26419376.0,153.4820947,0.901965618,0.858157039,False,False,17731,30,14,9,512,3,sigmoid,16,5,relu,50,relu
25,1,157.4066772,245.4920233,12.54618168,15.66818507,9.54963398,12.22473284,14741088.0,144.5022043,0.909911156,0.857839823,False,False,17731,30,14,15,32,3,sigmoid,16,5,relu,50,relu
26,1,147.2510529,235.2762454,12.13470459,15.3387172,9.170407295,11.75751426,11764186.0,150.3630051,0.915723443,0.863755643,False,False,17731,30,14,15,64,3,sigmoid,16,5,relu,50,relu
27,1,156.4502411,249.6010087,12.50800705,15.79876605,9.53932476,11.88855605,21609836.0,152.2318395,0.910458684,0.855460405,False,False,17731,30,14,15,128,3,sigmoid,16,5,relu,50,relu
28,1,154.7184448,238.4100327,12.43858719,15.44053214,9.479657173,11.96162895,20210112.0,144.4668121,0.911449611,0.86194092,False,False,17731,30,14,15,256,3,sigmoid,16,5,relu,50,relu
29,1,155.646286,231.5261503,12.47582817,15.21598338,9.369217873,11.37728491,19207194.0,140.802206,0.910918713,0.865927219,False,False,17731,30,14,15,512,3,sigmoid,16,5,relu,50,relu
30,2,170.4698792,257.5170893,13.05641174,16.04733901,9.879171371,12.03920244,19951764.0,141.0338325,0.902434826,0.850876331,False,False,17731,30,14,15,512,2,sigmoid,16,5,relu,50,relu
31,2,86.65330505,356.4571543,9.308775902,18.88007294,7.210064888,14.69954689,22998234.0,138.6989992,0.950405359,0.793581903,False,False,17731,30,14,15,512,2,tanh,16,5,relu,50,relu
